month,2013,2014,2015,2016,2017,2018,2019,2020
jan,300,200,300,400,200,400,100,200
feb,200,100,200,300,300,200,300,500
mar,450,150,100,500,100,300,500,300
apr,400,200,400,200,500,500,150,150
may,500,0,250,400,100,250,300,400
jun,400,120,100,150,150,300,400,200
jul,500,300,200,200,200,150,250,250
aug,300,150,300,300,100,100,100,100
sep,200,200,100,400,150,150,500,50
oct,200,150,150,200,250,200,150,100
nov,200,50,200,200,100,100,80,0
dec,300,200,200,100,100,150,200,0
