month,2013,2014,2015,2016,2017,2018,2019,2020
jan,300,400,300,300,400,250,400,400
feb,200,100,250,500,200,100,200,300
mar,400,200,400,150,150,300,100,100
apr,400,0,350,100,200,250,300,500
may,300,200,450,400,300,200,400,200
jun,350,100,200,200,400,100,250,150
jul,300,150,150,200,250,200,100,300
aug,200,180,250,250,300,250,500,250
sep,150,200,100,500,200,300,150,100
oct,200,250,150,150,900,150,200,200
nov,100,100,100,300,100,100,50,0
dec,150,200,200,150,150,200,100,0
