month,2013,2014,2015,2016,2017,2018,2019,2020
jan,200,300,100,200,150,250,200,180
feb,100,200,150,400,200,150,200,200
mar,100,150,200,150,100,100,250,400
apr,200,200,300,300,200,250,100,400
may,200,300,250,500,150,300,300,400
jun,200,400,220,280,200,200,200,400
jul,150,250,100,200,300,200,400,350
aug,100,100,150,200,400,250,150,300
sep,500,150,200,150,250,100,150,250
oct,200,100,150,300,150,280,300,300
nov,180,150,100,200,200,200,200,300
dec,150,200,200,150,200,200,200,250
