month,2013,2014,2015,2016,2017,2018,2019,2020
jan,500,150,200,500,500,500,500,500
feb,400,0,100,200,200,300,300,300
mar,300,200,150,400,350,200,250,150
apr,500,300,500,150,400,200,400,400
may,300,500,200,300,100,250,150,250
jun,400,400,300,250,150,400,300,300
jul,300,250,400,400,200,350,100,400
aug,300,300,150,500,400,200,100,300
sep,250,100,200,200,350,100,500,200
oct,200,100,150,400,200,100,400,200
nov,300,200,200,100,150,200,200,200
dec,400,100,250,200,200,400,200,200
